year,dna,tag_code
2019,1143,3DD.003D2B7D08
2019,1143,3DD.0077B0745A
2019,1144,3DD.003D2B74E3
2019,1144,3DD.003D2B7D35
2019,1145,3DD.003D2B74C8
2019,1145,3DD.003D2B7D44
2019,1146,3DD.003D2B7500
2019,1146,3DD.003D2B7D3A
2019,1147,3DD.003D2B74D2
2019,1147,3DD.003D2B7D23
2019,1148,3DD.003D2B74E8
2019,1148,3DD.003D2B7CEC
2019,1149,3DD.003D2B7510
2019,1149,3DD.003D2B7CEF
2019,1150,3DD.003D2B7512
2019,1150,3DD.003D2B7D32
2019,1151,3DD.003D2B74BD
2019,1151,3DD.003D2B7D27
2019,1152,3DD.003D2B74CA
2019,1152,3DD.003D2B7D14
2019,1153,3DD.003D2B74E1
2019,1153,3DD.003D2B7D2E
2019,1154,3DD.003D2B7503
2019,1154,3DD.003D2B7D48
2019,1155,3DD.003D2B7506
2019,1155,3DD.003D2B7D31
2019,1156,3DD.003D2B74EC
2019,1156,3DD.003D2B7D10
2019,1157,3DD.003D2B74DB
2019,1157,3DD.003D2B7D2B
2019,1158,3DD.003D2B7D1E
2019,1158,3DD.0077B528F6
2019,1159,3DD.003D2B74FF
2019,1159,3DD.003D2B7D46
2019,1160,3DD.003D2B74D1
2019,1160,3DD.003D2B7CF9
2019,1161,3DD.003D2B74FC
2019,1161,3DD.003D2B7D41
2019,1162,3DD.003D2B74B1
2019,1162,3DD.003D2B7D12
2019,1163,3DD.003D2B74BA
2019,1163,3DD.003D2B7CFF
2019,1164,3DD.003D2B750F
2019,1164,3DD.003D2B7D0E
2019,1165,3DD.003D2B74D7
2019,1165,3DD.0077B520AD
2019,1166,3DD.003D2B74F4
2019,1166,3DD.003D2B7D3C
2019,1167,3DD.003D2B74E9
2019,1167,3DD.003D2B7D01
2019,1168,3DD.003D2B74D3
2019,1168,3DD.003D2B7D30
2019,1169,3DD.003D2B7D18
2019,1169,3DD.0077B4D7CC
2019,1170,3DD.003D2B74F3
2019,1170,3DD.003D2B7CF3
2019,1171,3DD.003D2B74C9
2019,1171,3DD.003D2B7CF2
2019,1172,3DD.003D2B74D4
2019,1172,3DD.003D2B7CEE
2019,1173,3DD.003D2B74C4
2019,1173,3DD.003D2B7CE9
2019,1174,3DD.003D2B74EA
2019,1174,3DD.003D2B7D2A
2019,1175,3DD.003D2B74F2
2019,1175,3DD.003D2B7CFD
2019,1176,3DD.003D2B74C0
2019,1176,3DD.003D2B7D3B
2019,1177,3DD.003D2B74DC
2019,1177,3DD.003D2B7D29
2019,1178,3DD.003D2B74DD
2019,1178,3DD.003D2B7D34
2019,1179,3DD.003D2B7507
2019,1179,3DD.003D2B7D09
2019,1180,3DD.003D2B74D9
2019,1180,3DD.003D2B7D25
2019,1181,3DD.003D2B7501
2019,1181,3DD.003D2B7D1A
2019,1182,3DD.003D2B74D5
2019,1182,3DD.003D2B7CED
2019,1183,3DD.003D2B74E4
2019,1183,3DD.003D2B7D38
2019,1184,3DD.003D2B74ED
2019,1184,3DD.003D2B7CF7
2019,1185,3DD.003D2B7511
2019,1185,3DD.003D2B7D36
2019,1186,3DD.003D2B74B4
2019,1186,3DD.003D2B7D16
2019,1187,3DD.003D2B74F7
2019,1187,3DD.003D2B7D03
2019,1188,3DD.003D2B74C1
2019,1188,3DD.003D2B7D02
2019,1189,3DD.003D2B74FD
2019,1189,3DD.003D2B7CF5
2019,1190,3DD.003D2B74B6
2019,1190,3DD.003D2B7D15
2019,1191,3DD.003D2B74FB
2019,1191,3DD.003D2B7D11
2019,1192,3DD.003D2B74BE
2019,1192,3DD.003D2B7D2C
2019,1193,3DD.003D2B74EF
2019,1193,3DD.003D2B7CE7
2019,1194,3DD.003D2B74FE
2019,1194,3DD.003D2B7CE8
2019,1195,3DD.003D2B74C6
2019,1195,3DD.003D2B7D47
2019,1196,3DD.003D2B74EE
2019,1196,3DD.003D2B7CF1
2019,1197,3DD.003D2B74F8
2019,1197,3DD.003D2B7D1D
2019,1198,3DD.003D2B74CE
2019,1198,3DD.003D2B7CFB
2019,1199,3DD.003D2B74F9
2019,1199,3DD.003D2B7D21
2019,1200,3DD.003D2B74B0
2019,1200,3DD.003D2B7D13
2019,1201,3DD.003D2B74E0
2019,1201,3DD.003D2B7D0F
2019,1202,3DD.003D2B7505
2019,1202,3DD.003D2B7D19
2019,1203,3DD.003D2B7AAE
2019,1203,3DD.003D2B7D04
2019,1204,3DD.003D2B7A9E
2019,1204,3DD.003D2B7CFA
2019,1205,3DD.003D2B7A91
2019,1205,3DD.003D2B7D0A
2019,1206,3DD.003D2B7AE6
2019,1206,3DD.003D2B7D07
2019,1207,3DD.003D2B7A94
2019,1207,3DD.003D2B7CFE
2019,1208,3DD.003D2B7AC4
2019,1208,3DD.003D2B7D37
2019,1209,3DD.003D2B7500
2019,1209,3DD.003D2B7D06
2019,1210,3DD.003D2B7AD5
2019,1210,3DD.003D2B7D2F
2019,1211,3DD.003D2B7AED
2019,1211,3DD.003D2B7D20
2019,1212,3DD.003D2B7A96
2019,1212,3DD.003D2B7D22
2019,1213,3DD.003D2B7AA4
2019,1213,3DD.003D2B7D24
2019,1214,3DD.003D2B7AA9
2019,1214,3DD.003D2B7CF4
2019,1215,3DD.003D2B7AE8
2019,1215,3DD.003D2B7CF0
2019,1216,3DD.003D2B7AAD
2019,1216,3DD.003D2B7D3D
2019,1217,3DD.003D2B7AE1
2019,1217,3DD.003D2B7EEC
2019,1218,3DD.003D2B7ADB
2019,1218,3DD.003D2B7EFD
2019,1219,3DD.003D2B7A8E
2019,1219,3DD.003D2B7F07
2019,1220,3DD.003D2B7A9B
2019,1220,3DD.003D2B7EFF
2019,1221,3DD.003D2B7ACC
2019,1221,3DD.003D2B7F35
2019,1222,3DD.003D2B7AA5
2019,1222,3DD.003D2B7EED
2019,1223,3DD.003D2B7AA7
2019,1223,3DD.003D2B7EFA
2019,1224,3DD.003D2B7ADD
2019,1224,3DD.003D2B7F31
2019,1225,3DD.003D2B7AE9
2019,1225,3DD.003D2B7F08
2019,1226,3DD.003D2B7AD2
2019,1226,3DD.003D2B7EF8
2019,1227,3DD.003D2B7AB5
2019,1227,3DD.003D2B7EFE
2019,1228,3DD.003D2B7AD8
2019,1228,3DD.003D2B7EEE
2019,1229,3DD.003D2B7AC3
2019,1229,3DD.003D2B7EF3
2019,1230,3DD.003D2B7AAB
2019,1230,3DD.003D2B7F04
2019,1231,3DD.003D2B7A8C
2019,1231,3DD.003D2B7EFC
2019,1232,3DD.003D2B7AE3
2019,1232,3DD.003D2B7EE4
2019,1233,3DD.003D2B7AE5
2019,1233,3DD.003D2B7F36
2019,1234,3DD.003D2B7AA1
2019,1234,3DD.003D2B7F2F
2019,1235,3DD.003D2B7AB3
2019,1235,3DD.003D2B7F19
2019,1236,3DD.003D2B7ADA
2019,1236,3DD.003D2B7F0F
2019,1237,3DD.003D2B7F23
2019,1237,3DD.0077B4E93D
2019,1238,3DD.003D2B7AA6
2019,1238,3DD.003D2B7F26
2019,1239,3DD.003D2B7A8D
2019,1239,3DD.003D2B7F0E
2019,1240,3DD.003D2B7AD6
2019,1240,3DD.003D2B7EE5
2019,1241,3DD.003D2B7ABD
2019,1241,3DD.003D2B7F06
2019,1242,3DD.003D2B7A99
2019,1242,3DD.003D2B7F05
2019,1243,3DD.003D2B7ABF
2019,1243,3DD.003D2B7F3E
2019,1244,3DD.003D2B7AD1
2019,1244,3DD.003D2B7F21
2019,1245,3DD.003D2B7A93
2019,1245,3DD.003D2B7EE2
2019,1246,3DD.003D2B7ABB
2019,1246,3DD.003D2B7F24
2019,1247,3DD.003D2B7AF0
2019,1247,3DD.003D2B7F18
2019,1248,3DD.003D2B7ACD
2019,1248,3DD.003D2B7F3A
2019,1249,3DD.003D2B7AA3
2019,1249,3DD.003D2B7F38
2019,1250,3DD.003D2B7AC8
2019,1250,3DD.003D2B7EDF
2019,1251,3DD.003D2B7A9C
2019,1251,3DD.003D2B7F0C
2019,1252,3DD.003D2B7F3C
2019,1252,3DD.0077B4FFE5
2019,1253,3DD.003D2B7ADF
2019,1253,3DD.003D2B7F3B
2019,1254,3DD.003D2B7AEE
2019,1254,3DD.003D2B7F10
2019,1255,3DD.003D2B7AE0
2019,1255,3DD.003D2B7EE0
2019,1256,3DD.003D2B7AEC
2019,1256,3DD.003D2B7EFB
2019,1257,3DD.003D2B7AEA
2019,1257,3DD.003D2B7F1F
2019,1258,3DD.003D2B7ABC
2019,1258,3DD.003D2B7EF6
2019,1259,3DD.003D2B7AC5
2019,1259,3DD.003D2B7EEA
2019,1260,3DD.003D2B7AD4
2019,1260,3DD.003D2B7EDD
2019,1261,3DD.003D2B7ADE
2019,1261,3DD.003D2B7EEF
2019,1262,3DD.003D2B7AB8
2019,1262,3DD.003D2B7F3D
2019,1263,3DD.003D2B7AB7
2019,1263,3DD.003D2B7EF2
2019,1264,3DD.003D2B7AC1
2019,1264,3DD.003D2B7F1C
2019,1265,3DD.003D2B7AC7
2019,1265,3DD.003D2B7F09
2019,1266,3DD.003D2B7A9A
2019,1266,3DD.003D2B7F37
2019,1267,3DD.003D2B7A97
2019,1267,3DD.003D2B7F1E
2019,1268,3DD.003D2B7AE4
2019,1268,3DD.003D2B7EF9
2019,1269,3DD.003D2B7AB1
2019,1269,3DD.003D2B7EE9
2019,1270,3DD.003D2B7AA2
2019,1270,3DD.003D2B7F0B
2019,1271,3DD.003D2B7AC6
2019,1271,3DD.003D2B7F17
2019,1272,3DD.003D2B7AAC
2019,1272,3DD.003D2B7F12
2019,1273,3DD.003D2B7ACB
2019,1273,3DD.003D2B7EEB
2019,1274,3DD.003D2B7AC0
2019,1274,3DD.003D2B7F13
2019,1275,3DD.003D2B7AB4
2019,1275,3DD.003D2B7F01
2019,1276,3DD.003D2B7AD9
2019,1276,3DD.003D2B7F32
2019,1277,3DD.003D2B7A9F
2019,1277,3DD.003D2B7F27
2019,1278,3DD.003D2B7AD7
2019,1278,3DD.0077B4AF79
2019,1279,3DD.003D2B7AE7
2019,1279,3DD.003D2B7F2D
2019,1280,3DD.003D2B7AC9
2019,1280,3DD.003D2B7F16
2019,1281,3DD.003D2B7A9D
2019,1281,3DD.003D2B7F33
2019,1282,3DD.003D2B7AEF
2019,1282,3DD.003D2B7F28
